"AI","Bottle","Site","Species","Time","Dead","Alive"
"Etofenprox","Eto 3","AHS","Cx. pipiens","45","14","18"
"Etofenprox","Eto 3","AHS","Cx. pipiens","60","21","11"
"Etofenprox","Eto 3","AHS","Cx. pipiens","75","22","10"
"Etofenprox","Eto 3","AHS","Cx. pipiens","90","30","2"
"Etofenprox","Eto 3","AHS","Cx. pipiens","105","30","2"
"Etofenprox","Eto 3","AHS","Cx. pipiens","120","30","2"
"Sumithrin","S4","Colony","Cx. pipiens","0","0","22"
"Sumithrin","S4","Colony","Cx. pipiens","5","0","22"
"Sumithrin","S4","Colony","Cx. pipiens","10","7","15"
"Sumithrin","S4","Colony","Cx. pipiens","15","21","1"
"Sumithrin","S4","Colony","Cx. pipiens","20","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","25","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","30","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","35","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","40","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","45","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","60","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","75","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","90","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","105","22","0"
"Sumithrin","S4","Colony","Cx. pipiens","120","22","0"
"Sumithrin","S5","Colony","Cx. pipiens","0","0","19"
"Sumithrin","S5","Colony","Cx. pipiens","5","0","19"
"Sumithrin","S5","Colony","Cx. pipiens","10","5","14"
"Sumithrin","S5","Colony","Cx. pipiens","15","14","5"
"Sumithrin","S5","Colony","Cx. pipiens","20","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","25","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","30","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","35","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","40","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","45","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","60","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","75","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","90","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","105","19","0"
"Sumithrin","S5","Colony","Cx. pipiens","120","19","0"
"Sumithrin","S6","Colony","Cx. pipiens","0","0","20"
"Sumithrin","S6","Colony","Cx. pipiens","5","1","19"
"Sumithrin","S6","Colony","Cx. pipiens","10","2","18"
"Sumithrin","S6","Colony","Cx. pipiens","15","12","8"
"Sumithrin","S6","Colony","Cx. pipiens","20","14","6"
"Sumithrin","S6","Colony","Cx. pipiens","25","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","30","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","35","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","40","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","45","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","60","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","75","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","90","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","105","20","0"
"Sumithrin","S6","Colony","Cx. pipiens","120","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","0","0","20"
"Etofenprox","E1","Colony","Cx. pipiens","5","3","17"
"Etofenprox","E1","Colony","Cx. pipiens","10","8","12"
"Etofenprox","E1","Colony","Cx. pipiens","15","18","2"
"Etofenprox","E1","Colony","Cx. pipiens","20","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","25","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","30","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","35","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","40","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","45","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","60","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","75","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","90","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","105","20","0"
"Etofenprox","E1","Colony","Cx. pipiens","120","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","0","0","20"
"Etofenprox","E2","Colony","Cx. pipiens","5","1","19"
"Etofenprox","E2","Colony","Cx. pipiens","10","5","15"
"Etofenprox","E2","Colony","Cx. pipiens","15","19","1"
"Etofenprox","E2","Colony","Cx. pipiens","20","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","25","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","30","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","35","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","40","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","45","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","60","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","75","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","90","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","105","20","0"
"Etofenprox","E2","Colony","Cx. pipiens","120","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","0","0","20"
"Etofenprox","E6","Colony","Cx. pipiens","5","3","17"
"Etofenprox","E6","Colony","Cx. pipiens","10","6","14"
"Etofenprox","E6","Colony","Cx. pipiens","15","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","20","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","25","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","30","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","35","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","40","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","45","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","60","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","75","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","90","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","105","20","0"
"Etofenprox","E6","Colony","Cx. pipiens","120","20","0"
